,KOSPI 200 ─▌┐╔╝╟ 1811 277.5,,,,,,,,,,,,,,,,,,,,,,
╜├░г,╟Ў└ч░б,╡ю╢Ї└▓,╡ю╢Ї▒╕║╨,░┼╖б╖о,├╝░с╜├░г,├╝░с╖о,├╝░с╝║╟т,░┼╖б┤ы▒▌,├╝░с░н╡╡,╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с╣°╚г,┤ы║ё,├╝░с╕┼╝Ў╚г░б,├╝░с╕┼╡╡╚г░б,├╝░с╣╠░с┴ж╛р┴д╝Ў╖о,├╝░с┐ь╝▒╚г░б╕┼╡╡░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╡╡└▄╖о,├╝░с┐ь╝▒╚г░б╕┼╝Ў░╟╝Ў,├╝░с┐ь╝▒╚г░б╕┼╝Ў└▄╖о,├╝░с5╚г░б╕┼╡╡░╟╝Ў,├╝░с5╚г░б╕┼╡╡└▄╖о,├╝░с5╚г░б╕┼╝Ў░╟╝Ў,├╝░с5╚г░б╕┼╝Ў└▄╖о
43390.38074,5.9,29.96,бу  ,287,43412.38074,1,B  ,419238000,58.96,5718,113,1.36,5.88,5.9,5718,1,1,1,4,6,44,8,15
43390.38075,5.93,30.62,бу  ,288,43412.38075,1,BB ,420720000,59.54,5718,114,1.39,5.89,5.95,5718,1,1,1,1,7,44,8,28
43390.38078,5.92,30.4,бу  ,289,43412.38078,1,SS ,422200000,59.2,5718,115,1.38,5.9,5.94,5718,1,1,1,1,8,38,7,35
43390.3808,5.91,30.18,бу  ,290,43412.3808,1,BB ,423678000,59.77,5718,116,1.37,5.88,5.93,5718,1,1,2,3,7,33,8,37
43390.38091,5.92,30.4,бу  ,291,43412.38091,1,SS ,425158000,59.43,5719,117,1.38,5.91,5.95,5719,2,3,1,1,7,34,8,43
43390.38094,5.93,30.62,бу  ,292,43412.38094,1,BB ,426640000,60,5719,118,1.39,5.9,5.94,5719,2,3,2,11,8,36,8,46
43390.38101,5.92,30.4,бу  ,297,43412.38101,5,S  ,434040000,58.33,5719,119,1.38,5.92,5.93,5719,1,1,1,5,8,25,6,25
43390.38101,5.92,30.4,бу  ,302,43412.38101,5,S  ,441440000,56.76,5719,120,1.38,5.92,5.93,5719,1,1,1,5,8,25,6,25
43390.38102,5.9,29.96,бу  ,303,43412.38102,1,SS ,442915000,56.45,5719,121,1.36,5.89,5.93,5719,1,1,1,1,8,25,7,29
43390.38102,5.89,29.74,бу  ,304,43412.38102,1,SS ,444388000,56.15,5719,122,1.35,5.88,5.93,5719,2,3,2,6,8,25,8,51
